StoreID,Sq_Ft,AvgMonthSales,Phone Number,Street Combined,Street 1,Street 2,Street 3,City,Postal Code,Region,Country,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,Name,Right_State
1664,1475,11000,8478428048,"101 W. Main St., Barrington Village Center",101 W. Main St.,,Barrington Village Center,Barrington,60010,Central,US,"(42.1540565490723, -88.1362915039063)",42.15405655,-88.1362915,Central Standard Time,-360,GMT-06:00 America/Chicago,Barrington,IL
1675,1472,15000,8472531188,90 East Northwest Highway,90 East Northwest Highway,,,Mount Prospect,60056,Central,US,"(42.0633544921875, -87.9355773925781)",42.06335449,-87.93557739,Central Standard Time,-360,GMT-06:00 America/Chicago,Northwest Hwy & Elmhurst Rd,IL
1696,1471,10000,2242232528,1261 East Higgins Road,1261 East Higgins Road,,,Schaumburg,60173,Central,US,"(42.039363861084, -88.048828125)",42.03936386,-88.04882813,Central Standard Time,-360,GMT-06:00 America/Chicago,Higgins & Meacham,IL
1700,1465,15000,(224) 500-9575,17 W 633 Roosevelt Road,17 W 633 Roosevelt Road,,,Oakbrook Terrace,60181,Central,US,"(41.8600807189941, -87.9739685058594)",41.86008072,-87.97396851,Central Standard Time,-360,GMT-06:00 America/Chicago,Roosevelt & Summit,IL
1712,1456,19000,708-403-1461,15858 South LaGrange Road,15858 South LaGrange Road,,,Orland Park,60462,Central,US,"(41.603816986084, -87.8534317016602)",41.60381699,-87.8534317,Central Standard Time,-360,GMT-06:00 America/Chicago,159th & LaGrange,IL
2288,1387,14000,3036806304,13702 E Quincy Ave,13702 E Quincy Ave,,,Aurora,80015,West,US,"(39.6378707885742, -104.828552246094)",39.63787079,-104.8285522,Mountain Standard Time,-420,GMT-07:00 America/Denver,S. Parker Rd & E. Quincy Ave,CO
2293,1394,11000,303-424-0670,9983 Wadsworth Pkwy,9983 Wadsworth Pkwy,,,Westminster,80021,West,US,"(39.8431854248047, -105.08194732666)",39.84318542,-105.0819473,Mountain Standard Time,-420,GMT-07:00 America/Denver,King Sooper Arvada # 55,CO
2301,1387,11000,3037611675,3500 A River Point Parkway,3500 A River Point Parkway,,,Denver,80110,West,US,"(39.6528053283691, -105.012954711914)",39.65280533,-105.0129547,Mountain Standard Time,-420,GMT-07:00 America/Denver,"Hampden & Santa Fe, Sheridan",CO
2322,1390,14000,,1331 N Speer Blvd,1331 N Speer Blvd,,,Denver,80204,West,US,"(39.7375144958496, -104.997352600098)",39.7375145,-104.9973526,Mountain Standard Time,-420,GMT-07:00 America/Denver,King Soopers - Denver #1,CO
2341,1400,11000,3034430309,"1352 College Avenue, 115",1352 College Avenue,115,,Boulder,80302,West,US,"(40.007194519043, -105.275108337402)",40.00719452,-105.2751083,Mountain Standard Time,-420,GMT-07:00 America/Denver,1352 College Ave - Boulder,CO
